Cost Center	Subject	Training Type	Course Code	Training Title	Session ID	Facility	Training Attendee Status	Registration Date	Transcript Assigned Date	Training Due Date	Part Name	Part Start Time	Part End Time	Part Time Zone	Completion Date	Last Transcript Status Change Date	Time in Training	Training Hours	Credit Hours	Provider	Version Number
	 [Software R&D], [Software R&D] System software, Expertise	Online Content		Fundamentals of Operating Systems			In Progress	2/9/2025 21:33									0	21.75	0	(Udemy) ???	
	 [Software Tools], Expertise	Online Content		Generative AI for Beginners			In Progress	2/25/2025 21:34									4	3.53	0	(Udemy) ???	
	 [Software Tools], [Software Tools] Java, Expertise	Online Content		Java from Basics to Advanced			In Progress	1/6/2025 8:30									1769	31.3	0	(Udemy) ???	
	 [Software R&D], [Software R&D] Artificial intelligence, Expertise	Online Content		LLM Engineering: Master AI, Large Language Models & Agents			In Progress	2/22/2025 8:40									608	25.28	0	(Udemy) ???	
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 8:36	4/8/2025 8:36						4/29/2025 15:47	4/29/2025 15:47	24	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/2/2025 3:18	2/2/2025 3:18							2/2/2025 3:18	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 8:36	4/8/2025 8:36						5/27/2025 11:25	5/27/2025 11:25	72	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/2/2025 3:18	2/2/2025 3:18						4/24/2025 15:25	4/24/2025 15:25	0	4	0	(SEU) S/W School	1
	 [Software R&D], [Software R&D] Application development, Expertise	Online Content		Android App Development with Kotlin | Beginner to Advanced			In Progress	1/20/2025 8:57	1/20/2025 8:57							1/20/2025 8:57	267	55.82	0	(Udemy) ???	
	 [Software Tools], [Software Tools] Kotlin, Expertise	Online Content		Android Development with Kotlin			In Progress	1/20/2025 8:54	1/20/2025 8:54							1/20/2025 8:54	0	29.67	0	(Udemy) ???	
	 [Software R&D], [Software R&D] Application development, Expertise	Online Content		Flutter & Dart - The Complete Guide [2025 Edition]			In Progress	2/19/2025 9:31									4	30.05	0	(Udemy) ???	
	 [Software Tools], [Software Tools] Java, Expertise	Online Content		Java Multithreading, Concurrency & Performance Optimization			In Progress	2/7/2025 9:51									139	5.43	0	(Udemy) ???	
	 [Software R&D], [Software R&D] Artificial intelligence, Expertise	Online Content		LLM Engineering: Master AI, Large Language Models & Agents			In Progress	5/19/2025 11:33									203	25.28	0	(Udemy) ???	
	 [Software R&D], [Software R&D] Software engineering, Expertise	Online Content		Low Level System Design, Design Patterns & SOLID Principles			In Progress	2/6/2025 19:03									25	8.87	0	(Udemy) ???	
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 8:36	4/8/2025 8:36						5/29/2025 8:58	5/29/2025 8:58	7	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/2/2025 3:17	2/2/2025 3:17							2/2/2025 3:17	0	4	0	(SEU) S/W School	1
		External Content		[Viet] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	6/2/2025 14:42	6/2/2025 14:42							6/2/2025 14:42	0	4	0	External Content	1
	 Expertise	Event		Business Trainings_SRID			Completed		5/23/2025 12:30						2/24/2025 17:00	5/23/2025 12:30	0	0	0	[SRI-Delhi]HR	
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	5/13/2025 12:29	5/13/2025 12:29		CPT_Trainings_Q1_2025	2/12/2025 14:00	2/12/2025 15:30	IST	2/12/2025 15:30	5/13/2025 12:29	90	1.5	0	[SRI-Delhi]HR	1
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	5/23/2025 12:30	5/23/2025 12:30		Behavioural Training | Creativity & Innovation | Design Thinking Awareness	2/24/2025 15:00	2/24/2025 17:00	IST	2/24/2025 17:00	5/23/2025 12:30	120	2	0	[SRI-Delhi]HR	1
	 [Software Tools], [Software Tools] SQL, Expertise	Online Class		PostgreSQL Essential Training			In Progress	3/6/2025 13:43	3/6/2025 13:42							3/6/2025 13:43	0	3	0	(LinkedIn Learning) ???? ??	
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 8:36	4/8/2025 8:36						5/30/2025 12:18	5/30/2025 12:18	14	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/2/2025 3:20	2/2/2025 3:20							2/2/2025 3:20	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 8:37	4/8/2025 8:37						5/23/2025 9:16	5/23/2025 9:16	12	0.25	0	(SEU) Sales&Marketing School	1
	 [Software R&D], [Software R&D] Application development, Expertise	Online Content		Understanding APIs and RESTful APIs Crash Course			Completed	1/28/2025 14:00							1/28/2025 15:51	1/28/2025 15:51	44	0.72	0	(Udemy) ???	
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/2/2025 3:22	2/2/2025 3:22						5/15/2025 17:12	5/15/2025 17:12	0	4	0	(SEU) S/W School	1
		Online Class		[SIELS] 2024 Understanding of Compliance And Data Protection			In Progress	5/15/2025 17:20	5/15/2025 17:20							5/15/2025 17:21	297	0.43	0	[SIEL-S]Legal & Compliance	1
	 [Software R&D], [Software R&D] Artificial intelligence, Expertise	Online Content		ChatGPT for Teachers: Complete Beginners Guide!			Completed	4/23/2025 18:43							4/24/2025 18:23	4/24/2025 18:23	33	0.52	0	(Udemy) ???	
	 [Software Tools], Expertise	Online Content		CUDA programming Masterclass with C++			In Progress	1/8/2025 21:35									166	10.8	0	(Udemy) ???	
	 [Software R&D], [Software R&D] Software management, Expertise	Online Content		Embedded Systems Bootcamp: RTOS, IoT,  AI, Vision and FPGA			In Progress	2/26/2025 21:34									0	16.32	0	(Udemy) ???	
	 [Software R&D], [Software R&D] Software architecture, Expertise	Online Content		Introduction to AUTOSAR/OSEK RTOS I			In Progress	2/26/2025 21:34									0	3.47	0	(Udemy) ???	
	 [R&D], Expertise	Online Content		Mastering RTOS: Hands on FreeRTOS and STM32Fx with Debugging			In Progress	2/25/2025 22:53									1	14.02	0	(Udemy) ???	
	 [Functional Competency], [Functional Competency] Financial acumen, Expertise	Online Class		Personal Finance Concepts for Everyday Decision-Making			Completed	1/23/2025 11:46	1/23/2025 11:46						1/23/2025 11:46	1/23/2025 11:46	0	0.68	0	(LinkedIn Learning) ???? ??	
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 8:38	4/8/2025 8:38						5/23/2025 9:05	5/23/2025 9:05	25	0.25	0	(SEU) Sales&Marketing School	1
	 [Software Tools], [Software Tools] Microsoft Excel, Expertise	Online Content		These 5 Excel Tricks Will Save Your Job			Completed	1/22/2025 11:55							1/22/2025 15:35	1/22/2025 15:35	30	0.55	0	(Udemy) ???	
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/2/2025 3:21	2/2/2025 3:21							2/2/2025 3:21	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 8:37	4/8/2025 8:37						5/5/2025 9:01	5/5/2025 9:01	13	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/2/2025 3:22	2/2/2025 3:22							2/2/2025 3:22	0	4	0	(SEU) S/W School	1
		External Content		Become a Project Coordinator			Completed	3/21/2025 8:48	3/21/2025 8:48						3/21/2025 8:48	3/21/2025 8:48	0	14.05	0	External Content	1
		External Content		Docker Mastery: The Complete Toolset From a Docker Captain			Completed	3/21/2025 8:49	3/21/2025 8:49						3/21/2025 8:49	3/21/2025 8:49	0	19.5	0	External Content	1
		External Content		Introduction to Operations Management			Completed	3/21/2025 8:47	3/21/2025 8:47						3/21/2025 8:47	3/21/2025 8:47	0	14	0	External Content	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 8:38	4/8/2025 8:38						5/29/2025 9:45	5/29/2025 9:45	12	0.25	0	(SEU) Sales&Marketing School	1
	 [Manufacturing], Expertise	Curriculum		SCM Advanced			In Progress	4/5/2025 2:23	4/5/2025 2:23							4/5/2025 2:23	0	13.55	0	(SEU) Production School	70
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/2/2025 3:22	2/2/2025 3:22						6/10/2025 9:14	6/10/2025 9:14	0	4	0	(SEU) S/W School	1
	 [Software Tools], [Software Tools] C++, Expertise	Online Content		Design Patterns in Modern C++			In Progress	1/31/2025 21:34									34	12.47	0	(Udemy) ???	
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 8:38	4/8/2025 8:38						5/28/2025 19:07	5/28/2025 19:07	4	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/2/2025 3:22	2/2/2025 3:22							2/2/2025 3:22	0	4	0	(SEU) S/W School	1
	 [Software R&D], [Software R&D] Server software, Expertise	Online Content		[NEW] Amazon EC2 Masterclass (Auto Scaling & Load Balancer)			In Progress	2/21/2025 20:22									32	6.3	0	(Udemy) ???	
	 [Software Tools], [Software Tools] SQL, Expertise	Online Content		200+ PL/SQL Interview Questions			In Progress	6/6/2025 21:34									0	1.82	0	(Udemy) ???	
	 [Software Tools], [Software Tools] SQL, Expertise	Online Content		Advanced SQL : The Ultimate Guide (2025)			Completed	2/15/2025 21:33							3/26/2025 11:14	3/26/2025 11:14	987	14.28	0	(Udemy) ???	
	 [Software Tools], Expertise	Online Content		Build Modern Full-Stack Apps with Next.js and Supabase			In Progress	4/23/2025 21:33									0	24.3	0	(Udemy) ???	
	 Expertise	Event		Business Trainings_SRID			Completed		5/14/2025 11:35						3/28/2025 16:15	5/14/2025 11:35	0	0	0	[SRI-Delhi]HR	
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	5/13/2025 12:29	5/13/2025 12:29		CPT_Trainings_Q1_2025	2/12/2025 14:00	2/12/2025 15:30	IST	2/12/2025 15:30	5/13/2025 12:29	90	1.5	0	[SRI-Delhi]HR	1
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	5/14/2025 11:26	5/14/2025 11:26		CPT_Trainings_Q1_2025_NEAT Training: New Features and Best Practices	3/28/2025 11:00	3/28/2025 12:00	IST	3/28/2025 12:00	5/14/2025 11:26	60	1	0	[SRI-Delhi]HR	1
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	5/14/2025 11:35	5/14/2025 11:35		CPT_Trainings_Q1_2025_Application Performance Monitoring	2/6/2025 14:45	3/28/2025 16:15	IST	3/28/2025 16:15	5/14/2025 11:35	72090	1.5	0	[SRI-Delhi]HR	1
	 [Functional Competency], [Functional Competency] Machine Learning, Expertise	Online Content		Complete Data Science,Machine Learning,DL,NLP Bootcamp			In Progress	5/11/2025 10:51									29	99.17	0	(Udemy) ???	
	 [Software Tools], [Software Tools] Python, Expertise	Online Content		Complete Python Programming Masterclass Beginner to Advanced			In Progress	4/24/2025 16:03								4/28/2025 21:40	444	7.22	0	(Udemy) ???	
	 [Software R&D], [Software R&D] Server software, Expertise	Online Content		Practice Exams | AWS Certified Solutions Architect Associate			In Progress	5/23/2025 21:34									0	0	0	(Udemy) ???	
	 [Functional Competency], [Functional Competency] Machine Learning, Expertise	Online Content		Python for Machine Learning & Data Science Masterclass			In Progress	5/10/2025 22:28									1	44.07	0	(Udemy) ???	
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 8:38	4/8/2025 8:38						5/27/2025 10:42	5/27/2025 10:42	13	0.25	0	(SEU) Sales&Marketing School	1
	 [Software Tools], Expertise	Online Content		System Design(LLD + HLD) by Concept && Coding			In Progress	5/26/2025 23:55									20	28.97	0	(Udemy) ???	
	 [Software Tools], [Software Tools] SQL, Expertise	Online Content		The Complete PL/SQL Bootcamp : "Beginner to Advanced PL/SQL"			In Progress	3/26/2025 22:33									429	26.38	0	(Udemy) ???	
	 [Software Tools], [Software Tools] AWS, Expertise	Online Content		Ultimate AWS Certified Solutions Architect Associate 2025			In Progress	5/22/2025 12:42									0	27.5	0	(Udemy) ???	
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/2/2025 3:23	2/2/2025 3:23							2/2/2025 3:23	0	4	0	(SEU) S/W School	1
	 [Marketing], Expertise	Online Content		Advanced Advertising Strategy: Data, Creativity & AI			In Progress	2/5/2025 10:41									66	2.32	0	(Udemy) ???	
	 [Marketing], Expertise	Online Content		Advertising Strategy			In Progress	2/5/2025 9:41									13	4.37	0	(Udemy) ???	
	 [Marketing], Expertise	Online Content		Data Driven Marketing A-Z: Improve Your Campaign Performance			In Progress	2/5/2025 21:37									17	3.4	0	(Udemy) ???	
	 [Software Tools], [Software Tools] Python, Expertise	Online Content		Learn Python Programming - Beginner to Master			In Progress	1/7/2025 22:50									530	61.73	0	(Udemy) ???	
	 [Functional Competency], [Functional Competency] Business acumen, Expertise	Online Content		SaaS Metrics Fundamentals for Managers, Founders & Investors			In Progress	5/24/2025 17:02									28	2.58	0	(Udemy) ???	
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 8:38	4/8/2025 8:38						5/30/2025 8:58	5/30/2025 8:58	10	0.25	0	(SEU) Sales&Marketing School	1
	 [Marketing], [Marketing] Product marketing, Expertise	Online Content		Step by Step DV360 Tutorial - 2024 (Programmatic Ads)			In Progress	1/17/2025 10:10									11	4.88	0	(Udemy) ???	
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/2/2025 3:23	2/2/2025 3:23							2/2/2025 3:23	0	4	0	(SEU) S/W School	1
	 Expertise	Event		Business Trainings_SRID			Completed		5/23/2025 11:45						3/25/2025 17:00	5/23/2025 11:45	0	0	0	[SRI-Delhi]HR	
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	5/23/2025 11:45	5/23/2025 11:45		Behavioural Training | Creativity & Innovation | Design Thinking Awareness	3/25/2025 15:00	3/25/2025 17:00	IST	3/25/2025 17:00	5/23/2025 11:45	120	2	0	[SRI-Delhi]HR	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 8:38	4/8/2025 8:38						5/28/2025 10:28	5/28/2025 10:28	15	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/2/2025 3:25	2/2/2025 3:25						2/15/2025 18:01	2/15/2025 18:01	0	4	0	(SEU) S/W School	1
	 [Leadership Competency], [Leadership] Team and collaboration, Leadership	Online Class		Building Trust			Completed	4/12/2025 18:16	4/12/2025 18:16						4/12/2025 18:16	4/12/2025 18:16	0	0.9	0	(LinkedIn Learning) ???? ??	
	 [Functional Competency], [Functional Competency] Communication, Expertise	Online Class		Communicating Nonverbally			Completed	2/19/2025 18:53	2/19/2025 18:53						2/19/2025 18:53	2/19/2025 18:53	0	0.45	0	(LinkedIn Learning) ???? ??	
	 [Functional Competency], Expertise	Online Class		Computer Vision on the Raspberry Pi 4			Completed	1/14/2025 21:04	1/14/2025 21:04						1/14/2025 21:04	1/14/2025 21:04	0	1.72	0	(LinkedIn Learning) ???? ??	
	 [Functional Competency], [Functional Competency] Communication, Expertise	Online Class		Confident Communication for Introverts			Completed	1/2/2025 18:23	1/2/2025 18:23						1/2/2025 18:23	1/2/2025 18:23	0	1.27	0	(LinkedIn Learning) ???? ??	
	 [Functional Competency], [Functional Competency] Problem-solving, Expertise	Online Class		Creating a High Performance Culture			In Progress	1/9/2025 11:51	1/9/2025 11:51							1/9/2025 11:51	0	1.07	0	(LinkedIn Learning) ???? ??	
	 [Sales], [Sales] B2B sales, Expertise	Online Class		Creating Great First Impressions			Completed	1/17/2025 21:45	1/17/2025 21:45						1/17/2025 21:45	1/17/2025 21:45	0	0.45	0	(LinkedIn Learning) ???? ??	
	 [Software Tools], [Software Tools] Microsoft Excel, Expertise	Online Content		Google Sheets - The Comprehensive Masterclass			In Progress	3/6/2025 21:35									0	14.3	0	(Udemy) ???	
	 [Software R&D], [Software R&D] Middleware development, Expertise	Online Class		IoT Foundations: Operating Systems Fundamentals			Completed	3/3/2025 19:30	3/3/2025 19:30						3/3/2025 19:30	3/3/2025 19:30	0	1.98	0	(LinkedIn Learning) ???? ??	
	 [Software R&D], [Software R&D] Software architecture, Expertise	Online Class		Master C Language Pointers			In Progress	1/8/2025 14:35	1/8/2025 14:35							1/8/2025 14:35	0	1.55	0	(LinkedIn Learning) ???? ??	
	 [Software Tools], [Software Tools] C, Expertise	Online Class		Network Programming in C: Develop Reliable Client/Server Applications			In Progress	1/9/2025 8:44	1/9/2025 8:44							1/9/2025 8:45	0	1.92	0	(LinkedIn Learning) ???? ??	
	 [Functional Competency], [Functional Competency] Task management, Expertise	Online Class		One-Minute Habits for Success			Completed	1/14/2025 20:46	1/14/2025 20:46						1/14/2025 20:46	1/14/2025 20:46	0	0.67	0	(LinkedIn Learning) ???? ??	
	 [Sales], [Sales] B2C sales, Expertise	Online Class		Persuading Others			Completed	1/17/2025 20:38	1/17/2025 20:38						1/17/2025 20:38	1/17/2025 20:38	0	0.5	0	(LinkedIn Learning) ???? ??	
	 [Software R&D], [Software R&D] Software management, Expertise	Online Class		Programming Foundations: Memory, Pointers, and Garbage Collection			Completed	1/8/2025 14:39	1/8/2025 14:39						2/19/2025 18:30	2/19/2025 18:30	0	2.52	0	(LinkedIn Learning) ???? ??	
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 8:39	4/8/2025 8:39						4/29/2025 10:39	4/29/2025 10:39	31	0.25	0	(SEU) Sales&Marketing School	1
	 [Functional Competency], [Functional Competency] Problem-solving, Expertise	Online Class		Using Your Mind to Change Your Brain			In Progress	1/9/2025 11:55	1/9/2025 11:55							1/9/2025 11:55	0	1.17	0	(LinkedIn Learning) ???? ??	
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/2/2025 3:24	2/2/2025 3:24						6/5/2025 15:57	6/5/2025 15:57	0	4	0	(SEU) S/W School	1
	 [Software R&D], Expertise	Online Content		ASP.NET Core 8 Web API: Clean architecture + Azure services			In Progress	2/4/2025 18:42									22	14.08	0	(Udemy) ???	
	 [Software Tools], [Software Tools] SQL, Expertise	Online Content		Relational Databases & SQL: Complete Guide for Developers			Completed	1/14/2025 8:49	1/14/2025 8:49						1/31/2025 11:08	1/31/2025 11:08	797	14	0	(Udemy) ???	
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 8:38	4/8/2025 8:38						4/29/2025 10:14	4/29/2025 10:14	12	0.25	0	(SEU) Sales&Marketing School	1
	 [Software Tools], [Software Tools] SQL, Expertise	Online Content		Zero to Hero in SQL: SQL for Data Analytics			In Progress	1/14/2025 8:46	1/14/2025 8:46							1/14/2025 8:46	3	9.77	0	(Udemy) ???	
	 [Mandatory(Compliance, EHS)], Core	Online Class		[Chinese] Samsung lettermark guidelines(for DX sales&marketing)			Registered	4/16/2025 12:34	4/16/2025 12:34							4/16/2025 12:34	0	0.42	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/2/2025 3:25	2/2/2025 3:25							2/2/2025 3:25	0	4	0	(SEU) S/W School	1
	 [Mandatory(Compliance, EHS)], Core	Online Class		[English] Samsung lettermark guidelines(for DX sales&marketing)			Completed	4/16/2025 12:34	4/16/2025 12:34						4/16/2025 12:45	4/16/2025 12:45	11	0.42	0	(SEU) Sales&Marketing School	1
	 [Mandatory(Compliance, EHS)], Core	Online Class		[Korean] Samsung lettermark guidelines(for DX sales&marketing)			Registered	4/16/2025 12:34	4/16/2025 12:34							4/16/2025 12:34	0	0.42	0	(SEU) Sales&Marketing School	1
	 Expertise	Curriculum		[L1] 5G Core Container Operations and Call Flows - Module 2/5 (NW Biz GSC)			In Progress	4/16/2025 16:39	4/16/2025 16:39							4/16/2025 16:39	0	4.33	0	[SIEL-S]HR	3
	 [Mandatory(Compliance, EHS)], Core	Online Class		[Spanish] Samsung lettermark guidelines(for DX sales&marketing)			Registered	4/16/2025 12:34	4/16/2025 12:34							4/16/2025 12:34	0	0.42	0	(SEU) Sales&Marketing School	1
	 [Mandatory(Compliance, EHS)], Core	Online Class		[Vietnamese] Samsung lettermark guidelines(for DX sales&marketing)			Registered	4/16/2025 12:34	4/16/2025 12:34							4/16/2025 12:34	0	0.42	0	(SEU) Sales&Marketing School	1
	 Expertise	Video		5G Core Operations and Call Flows P1			Registered	4/16/2025 16:39	4/16/2025 16:39							4/16/2025 16:39	0	0.67	0	[SIEL-S]HR	
	 [Functional Competency], [Functional Competency] Task management, Expertise	Online Content		Agile Fundamentals: Including Scrum & Kanban			In Progress	6/2/2025 23:16									0	4.38	0	(Udemy) ???	
	 [Functional Competency], [Functional Competency] Communication, Expertise	Online Class		Communicating with Emotional Intelligence			Completed	4/17/2025 11:19	4/17/2025 11:19						4/17/2025 16:56	4/17/2025 16:56	0	0.72	0	(LinkedIn Learning) ???? ??	
	 [Leadership Competency], [Leadership] Self-management, Leadership	Online Class		Developing Your Emotional Intelligence			Completed	4/16/2025 14:24	4/16/2025 14:24						4/16/2025 14:54	4/16/2025 14:54	0	0.68	0	(LinkedIn Learning) ???? ??	
	 [Software R&D], [Software R&D] Software engineering, Expertise	Online Content		Pragmatic System Design			In Progress	1/4/2025 5:32									0	5.53	0	(Udemy) ???	
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 8:39	4/8/2025 8:39						4/15/2025 11:29	4/15/2025 11:29	16	0.25	0	(SEU) Sales&Marketing School	1
	 [Mandatory(Compliance, EHS)], Core	Curriculum		Samsung lettermark guidelines(for DX sales & marketing)			Completed	4/16/2025 12:34	4/16/2025 12:34						4/16/2025 12:45	4/16/2025 12:45	0	2.08	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/2/2025 3:25	2/2/2025 3:25						6/9/2025 10:55	6/9/2025 10:55	0	4	0	(SEU) S/W School	1
	 [Software Tools], [Software Tools] AWS, Expertise	Online Content		[NEW] Ultimate AWS Certified Cloud Practitioner CLF-C02 2025			In Progress	3/27/2025 21:36									0	14.82	0	(Udemy) ???	
	 Expertise	Event		Business Trainings_SRID			Completed		5/23/2025 15:19						3/6/2025 17:30	5/23/2025 15:19	0	0	0	[SRI-Delhi]HR	
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	5/13/2025 12:29	5/13/2025 12:29		CPT_Trainings_Q1_2025	2/12/2025 14:00	2/12/2025 15:30	IST	2/12/2025 15:30	5/13/2025 12:29	90	1.5	0	[SRI-Delhi]HR	1
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	5/14/2025 11:26	5/14/2025 11:26		CPT_Trainings_Q1_2025_NEAT Training: New Features and Best Practices	3/28/2025 11:00	3/28/2025 12:00	IST	3/28/2025 12:00	5/14/2025 11:26	60	1	0	[SRI-Delhi]HR	1
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	5/14/2025 11:35	5/14/2025 11:35		CPT_Trainings_Q1_2025_Application Performance Monitoring	2/6/2025 14:45	3/28/2025 16:15	IST	3/28/2025 16:15	5/14/2025 11:35	72090	1.5	0	[SRI-Delhi]HR	1
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	5/14/2025 14:43	5/14/2025 14:43		CPT_Trainings_Q1_2025_MUltiple Trainings	2/12/2025 14:00	2/12/2025 16:00	IST	2/12/2025 16:00	5/14/2025 14:43	120	2	0	[SRI-Delhi]HR	1
	 Expertise	Session		Business Trainings_SRID		SRI-D, Plot 2A ,Sec-126 Noida-201303, India	Completed	5/23/2025 15:19	5/23/2025 15:19		IWD Session on "Sculpting Future through Body & Mind"	3/6/2025 16:30	3/6/2025 17:30	IST	3/6/2025 17:30	5/23/2025 15:19	60	1	0	[SRI-Delhi]HR	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 8:39	4/8/2025 8:39						5/26/2025 15:44	5/26/2025 15:44	12	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/2/2025 3:27	2/2/2025 3:27						2/4/2025 9:35	2/4/2025 9:35	0	4	0	(SEU) S/W School	1
	 [Software R&D], [Software R&D] Software engineering, Expertise	Online Content		Clean Code			In Progress	2/4/2025 21:34									0	6.7	0	(Udemy) ???	
	 [Software Tools], [Software Tools] C++, Expertise	Online Content		Design Patterns in Modern C++			In Progress	5/16/2025 11:07									608	12.47	0	(Udemy) ???	
	 [Software Tools], [Software Tools] Python, Expertise	Online Content		Intermediate to Advanced Python with 10 OOP Projects			In Progress	2/4/2025 9:01									0	23.38	0	(Udemy) ???	
	 [Functional Competency], [Functional Competency] Continuous Learning, Expertise	Online Content		Mastering the System Design Interview			In Progress	1/27/2025 21:33									250	5.22	0	(Udemy) ???	
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 8:39	4/8/2025 8:39						4/15/2025 8:32	4/15/2025 8:32	20	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/2/2025 3:28	2/2/2025 3:28							2/2/2025 3:28	0	4	0	(SEU) S/W School	1
	 [Functional Competency], [Functional Competency] Database Management, Expertise	Online Content		LangChain- Develop LLM powered applications with LangChain			In Progress	2/4/2025 21:36									41	11.77	0	(Udemy) ???	
	 [Software R&D], [Software R&D] Artificial intelligence, Expertise	Online Content		LangGraph- Develop LLM powered AI agents with LangGraph			In Progress	2/4/2025 21:36									0	7.7	0	(Udemy) ???	
	 [Software R&D], [Software R&D] Artificial intelligence, Expertise	Online Content		LLMs Mastery: Complete Guide to Transformers & Generative AI			In Progress	1/21/2025 21:37									0	7.5	0	(Udemy) ???	
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 8:39	4/8/2025 8:39						5/23/2025 13:26	5/23/2025 13:26	16	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/2/2025 3:29	2/2/2025 3:29							2/2/2025 3:29	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 8:40	4/8/2025 8:40						5/27/2025 10:58	5/27/2025 10:58	14	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/2/2025 3:29	2/2/2025 3:29							2/2/2025 3:29	0	4	0	(SEU) S/W School	1
		Online Class		Samsung Brand Strategy			Completed	4/8/2025 8:40	4/8/2025 8:40						4/11/2025 19:00	4/11/2025 19:00	32	0.25	0	(SEU) Sales&Marketing School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			In Progress	2/2/2025 3:29	2/2/2025 3:29							2/2/2025 3:29	0	4	0	(SEU) S/W School	1
